date,avg_price
2021-09-16,48186.532757047222
2020-08-17,11901.776488302461
2013-12-09,897.89
2015-12-14,443.277
2014-07-21,619.90880000000016
2016-08-28,573.5288
2020-10-02,10627.976063963179
2016-11-09,721.1774999999999
2023-07-23,29710.155935991766
2021-03-01,44970.163459946736
2019-06-21,9548.31456526146
2017-06-20,2777.79265567999
2013-12-03,1078.64
2022-03-11,39468.354773001891
2024-11-27,91931.830772918271
2014-12-14,350.133
2022-01-08,41527.197042644846
2015-11-19,325.5680000000001
2020-01-12,8012.0857818145287
2015-09-13,230.5048000000001
2018-11-13,6411.3534362051478
2021-06-12,37289.432522102223
2015-12-11,452.41499999999991
2024-05-20,66252.712595916135
2021-12-24,50900.614949516013
2019-11-21,8095.865638011639
2020-12-01,19609.52143957559
2019-10-23,8045.2942468072624
2019-02-18,3665.0755308007228
2024-09-22,63403.402349259355
2013-11-09,358
2020-02-23,9658.6060583754734
2018-08-02,7612.3007536831174
2015-03-16,290.09550000000007
2025-08-27,111490.82638888888
2025-08-29,109829.375
2025-04-30,94502.986111111139
2018-05-06,9766.24448548887
2018-08-03,7540.6331506171446
2017-01-29,914.14249999999981
2018-02-07,7711.2203289411
2024-07-30,66770.320918482656
2019-03-08,3871.6372479659908
2018-03-27,8186.19606281355
2018-03-11,8890.86580399612
2019-04-23,5380.9357895755884
2016-05-14,455.5030000000001
2017-11-08,7461.82443491069
2024-05-13,61507.054004121346
2016-04-07,421.076
2019-11-27,7157.6847310544726
2022-06-10,30101.187521431468
2015-04-03,253.6226999999999
2023-07-14,31446.0149710716
2023-12-10,43745.491991895469
2016-12-30,960.92500000000007
2017-11-18,7827.63146946899
2013-05-02,103.43
2020-06-10,9767.00531665552
2020-07-30,11093.612240442404
2022-06-22,20700.923933039136
2023-03-29,27291.3500210497
2021-08-30,48907.270731062214
2017-12-01,10995.7235531179
2022-09-09,19322.777749371569
2020-07-15,9247.0606959638135
2016-02-13,390.42400000000009
2024-11-29,95661.595958178514
2021-02-07,39279.412868978849
2023-12-26,43638.236302200916
2023-12-13,41450.819387377436
2019-03-10,3941.600873271771
2023-04-07,28042.9833864884
2021-09-04,49934.5282762881
2022-06-15,22244.848968001315
2023-08-14,29284.969713743809
2024-04-11,70527.889975789629
2015-12-30,426.811
2016-01-16,384.813
2018-12-25,4021.9902553454008
2014-07-12,633.63899516797414
2014-08-14,503.70879999999983
2014-03-25,582.55
2014-11-17,384.9
2022-04-26,40488.877917622376
2015-02-11,219.0956
2015-01-03,286.572
2025-07-24,118648.76388888886
2025-05-22,110972.93055555556
2025-09-25,111234.87500000003
2025-06-26,107489.73611111112
2024-09-18,60317.0319794625
2021-09-05,50013.029946945877
2019-06-09,7942.5392840642889
2020-12-22,22840.991707188354
2024-09-10,57049.118751143265
2019-09-03,10323.022660378076
2024-09-20,62966.529319105117
2022-07-19,22395.365383103952
2022-03-24,42802.154710169852
2016-11-07,706.0925
2014-02-08,701.61
2014-08-11,573.4063
2015-08-22,229.1488
2017-01-01,998.05
